"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Gibraltar","GIB","Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)","LP.LPI.CUST.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Lead time to import, median case (days)","LP.IMP.DURS.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Lead time to export, median case (days)","LP.EXP.DURS.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","2.66290726817043","4.18379432871177","5.93697829716194","19.1316381248919","21.171109436031","23.670239745714","28.3257797920554","32.8860826098395","39.0701308849385","45.29864751181","51.61","58","65.07","65","65","65.017","","","","94.4444715818151","",
"Gibraltar","GIB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4851.00485100485","5298.60799281545","7911.25122683877","7951.28728089622","10076.9727951113","11306.5326633166","13659.6140432458","17934.1066211565",
"Gibraltar","GIB","Secure Internet servers","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","177","266","269","343","387","470","620",
"Gibraltar","GIB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2103410608084","31.4351140438097","33.7793743451579","35.6273979121435","","38.192608261355","45.5095243660161","47.674959311788","50.2531023111857",
"Gibraltar","GIB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9297","10433","11284","11979","","13000","15577","16404","17373",
"Gibraltar","GIB","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","8.37821663674447","","","","","","","","","","12.6050420168067","","","","","","","","","","","","","21.3935424414969","23.083264633141","25.8648657595921","26.663111585122","28.5771920387305","31.1547728121076","33.1932198756066","36.860512961185","39.5077365466247","43.6740528949249","46.1060662323195","50.6874059207225","54.7882044647892","57.5998946744783","60.9008302281493","66.1666828999059","70.7173050240392","75.5003207184092","78.1283865621215","77.8341364443317","78.8146279949559","79.4895911713068","77.9180302321957","74.3126083725539","73.823438941864","73.3227422705609","72.8243718897924","72.3131157913767","71.8455321059722","68.7267644172144","","68.7466948704389","","49.4855847477331","57.1374851754361",
"Gibraltar","GIB","Fixed telephone subscriptions","IT.MLT.MAIN","1960","","","","","","","","","","3600","","","","","","","","","","","","","6500","7000","7813","8000","8500","9181","9713","10750","11541","12831","13658","15153","16517","17500","18632","20380","21916","23541","24512","24552","25000","25354","25000","24000","24000","24000","24000","24000","24000","23108","","23400","","17027","19753",
